,Region Name_en (M49),Country or Area_en (M49),ISO-alpha3 Code (M49)
0,Africa,Algeria,DZA
1,Africa,Egypt,EGY
2,Africa,Libya,LBY
3,Africa,Morocco,MAR
4,Africa,Sudan,SDN
5,Africa,Tunisia,TUN
6,Africa,Western Sahara,ESH
7,Africa,British Indian Ocean Territory,IOT
8,Africa,Burundi,BDI
9,Africa,Comoros,COM
10,Africa,Djibouti,DJI
11,Africa,Eritrea,ERI
12,Africa,Ethiopia,ETH
13,Africa,French Southern Territories,ATF
14,Africa,Kenya,KEN
15,Africa,Madagascar,MDG
16,Africa,Malawi,MWI
17,Africa,Mauritius,MUS
18,Africa,Mayotte,MYT
19,Africa,Mozambique,MOZ
20,Africa,Réunion,REU
21,Africa,Rwanda,RWA
22,Africa,Seychelles,SYC
23,Africa,Somalia,SOM
24,Africa,South Sudan,SSD
25,Africa,Uganda,UGA
26,Africa,United Republic of Tanzania,TZA
27,Africa,Zambia,ZMB
28,Africa,Zimbabwe,ZWE
29,Africa,Angola,AGO
30,Africa,Cameroon,CMR
31,Africa,Central African Republic,CAF
32,Africa,Chad,TCD
33,Africa,Congo,COG
34,Africa,Democratic Republic of the Congo,COD
35,Americas,"Bonaire, Sint Eustatius and Saba",BES
36,Americas,Saint Barthélemy,BLM
37,Americas,Saint Martin (French Part),MAF
38,Americas,Bouvet Island,BVT
39,Americas,South Georgia and the South Sandwich Islands,SGS
40,Asia,Myanmar,MMR
41,Asia,State of Palestine,PSE
42,Asia,State of Palestine,PSE
43,Europe,Åland Islands,ALA
44,Europe,Guernsey,GGY
45,Europe,Jersey,JEY
46,Europe,Isle of Man,IMN
47,Africa,Equatorial Guinea,GNQ
48,Africa,Gabon,GAB
49,Africa,Sao Tome and Principe,STP
50,Africa,Botswana,BWA
51,Africa,Eswatini,SWZ
52,Africa,Lesotho,LSO
53,Africa,Namibia,NAM
54,Africa,South Africa,ZAF
55,Africa,Benin,BEN
56,Africa,Burkina Faso,BFA
57,Africa,Cabo Verde,CPV
58,Africa,Côte d'Ivoire,CIV
59,Africa,Gambia,GMB
60,Africa,Ghana,GHA
61,Africa,Guinea,GIN
62,Africa,Guinea-Bissau,GNB
63,Africa,Liberia,LBR
64,Africa,Mali,MLI
65,Africa,Mauritania,MRT
66,Africa,Niger,NER
67,Africa,Nigeria,NGA
68,Africa,Saint Helena,SHN
69,Africa,Senegal,SEN
70,Africa,Sierra Leone,SLE
71,Africa,Togo,TGO
72,Americas,Anguilla,AIA
73,Americas,Antigua and Barbuda,ATG
74,Americas,Aruba,ABW
75,Americas,Bahamas,BHS
76,Americas,Barbados,BRB
77,Americas,British Virgin Islands,VGB
78,Americas,Cayman Islands,CYM
79,Americas,Cuba,CUB
80,Americas,Curaçao,CUW
81,Americas,Dominica,DMA
82,Americas,Dominican Republic,DOM
83,Americas,Grenada,GRD
84,Americas,Guadeloupe,GLP
85,Americas,Haiti,HTI
86,Americas,Jamaica,JAM
87,Americas,Martinique,MTQ
88,Americas,Montserrat,MSR
89,Americas,Puerto Rico,PRI
90,Americas,Saint Kitts and Nevis,KNA
91,Americas,Saint Lucia,LCA
92,Americas,Saint Vincent and the Grenadines,VCT
93,Americas,Sint Maarten (Dutch part),SXM
94,Americas,Trinidad and Tobago,TTO
95,Americas,Turks and Caicos Islands,TCA
96,Americas,United States Virgin Islands,VIR
97,Americas,Belize,BLZ
98,Americas,Costa Rica,CRI
99,Americas,El Salvador,SLV
100,Americas,Guatemala,GTM
101,Americas,Honduras,HND
102,Americas,Mexico,MEX
103,Americas,Nicaragua,NIC
104,Americas,Panama,PAN
105,Americas,Argentina,ARG
106,Americas,Bolivia (Plurinational State of),BOL
107,Americas,Brazil,BRA
108,Americas,Chile,CHL
109,Americas,Colombia,COL
110,Americas,Ecuador,ECU
111,Americas,Falkland Islands (Malvinas),FLK
112,Americas,French Guiana,GUF
113,Americas,Guyana,GUY
114,Americas,Paraguay,PRY
115,Americas,Peru,PER
116,Americas,Suriname,SUR
117,Americas,Uruguay,URY
118,Americas,Venezuela (Bolivarian Republic of),VEN
119,Americas,Bermuda,BMU
120,Americas,Canada,CAN
121,Americas,Greenland,GRL
122,Americas,Saint Pierre and Miquelon,SPM
123,Americas,United States of America,USA
124,Asia,Kazakhstan,KAZ
125,Asia,Kyrgyzstan,KGZ
126,Asia,Tajikistan,TJK
127,Asia,Turkmenistan,TKM
128,Asia,Uzbekistan,UZB
129,Asia,China,CHN
130,Asia,Chinese Taipei,TPE
131,Asia,"China, Hong Kong Special Administrative Region",HKG
132,Asia,"China, Macao Special Administrative Region",MAC
133,Asia,Democratic People's Republic of Korea,PRK
134,Asia,Japan,JPN
135,Asia,Mongolia,MNG
136,Asia,Republic of Korea,KOR
137,Asia,Brunei Darussalam,BRN
138,Asia,Cambodia,KHM
139,Asia,Indonesia,IDN
140,Asia,Lao People's Democratic Republic,LAO
141,Asia,Malaysia,MYS
142,Asia,Philippines,PHL
143,Asia,Singapore,SGP
144,Asia,Thailand,THA
145,Asia,Timor-Leste,TLS
146,Asia,Viet Nam,VNM
147,Asia,Afghanistan,AFG
148,Asia,Bangladesh,BGD
149,Asia,Bhutan,BTN
150,Asia,India,IND
151,Asia,Iran (Islamic Republic of),IRN
152,Asia,Maldives,MDV
153,Asia,Nepal,NPL
154,Asia,Pakistan,PAK
155,Asia,Sri Lanka,LKA
156,Asia,Armenia,ARM
157,Asia,Azerbaijan,AZE
158,Asia,Bahrain,BHR
159,Asia,Cyprus,CYP
160,Asia,Georgia,GEO
161,Asia,Iraq,IRQ
162,Asia,Iraq,IRQ
163,Asia,Israel,ISR
164,Asia,Jordan,JOR
165,Asia,Kuwait,KWT
166,Asia,Lebanon,LBN
167,Asia,Oman,OMN
168,Asia,Qatar,QAT
169,Asia,Saudi Arabia,SAU
170,Asia,Syrian Arab Republic,SYR
171,Asia,Turkey,TUR
172,Asia,United Arab Emirates,ARE
173,Asia,Yemen,YEM
174,Europe,Belarus,BLR
175,Europe,Bulgaria,BGR
176,Europe,Czechia,CZE
177,Europe,Hungary,HUN
178,Europe,Poland,POL
179,Europe,Republic of Moldova,MDA
180,Europe,Romania,ROU
181,Europe,Russian Federation,RUS
182,Europe,Slovakia,SVK
183,Europe,Ukraine,UKR
184,Europe,Denmark,DNK
185,Europe,Estonia,EST
186,Europe,Faroe Islands,FRO
187,Europe,Finland,FIN
188,Europe,Iceland,ISL
189,Europe,Ireland,IRL
190,Europe,Latvia,LVA
191,Europe,Lithuania,LTU
192,Europe,Norway,NOR
193,Europe,Svalbard and Jan Mayen Islands,SJM
194,Europe,Sweden,SWE
195,Europe,United Kingdom of Great Britain and Northern Ireland,GBR
196,Europe,Albania,ALB
197,Europe,Andorra,AND
198,Europe,Bosnia and Herzegovina,BIH
199,Europe,Croatia,HRV
200,Europe,Gibraltar,GIB
201,Europe,Greece,GRC
202,Europe,Holy See,VAT
203,Europe,Italy,ITA
204,Europe,Malta,MLT
205,Europe,Montenegro,MNE
206,Europe,North Macedonia,MKD
207,Europe,Portugal,PRT
208,Europe,San Marino,SMR
209,Europe,Serbia,SRB
210,Europe,Slovenia,SVN
211,Europe,Spain,ESP
212,Europe,Austria,AUT
213,Europe,Belgium,BEL
214,Europe,France,FRA
215,Europe,Germany,DEU
216,Europe,Liechtenstein,LIE
217,Europe,Luxembourg,LUX
218,Europe,Monaco,MCO
219,Europe,Netherlands,NLD
220,Europe,Switzerland,CHE
221,Oceania,Australia,AUS
222,Oceania,Christmas Island,CXR
223,Oceania,Cocos (Keeling) Islands,CCK
224,Oceania,Heard Island and McDonald Islands,HMD
225,Oceania,New Zealand,NZL
226,Oceania,Norfolk Island,NFK
227,Oceania,Fiji,FJI
228,Oceania,New Caledonia,NCL
229,Oceania,Papua New Guinea,PNG
230,Oceania,Solomon Islands,SLB
231,Oceania,Vanuatu,VUT
232,Oceania,Guam,GUM
233,Oceania,Kiribati,KIR
234,Oceania,Marshall Islands,MHL
235,Oceania,Micronesia (Federated States of),FSM
236,Oceania,Nauru,NRU
237,Oceania,Northern Mariana Islands,MNP
238,Oceania,Palau,PLW
239,Oceania,United States Minor Outlying Islands,UMI
240,Oceania,American Samoa,ASM
241,Oceania,Cook Islands,COK
242,Oceania,French Polynesia,PYF
243,Oceania,Niue,NIU
244,Oceania,Pitcairn,PCN
245,Oceania,Samoa,WSM
246,Oceania,Tokelau,TKL
247,Oceania,Tonga,TON
248,Oceania,Tuvalu,TUV
249,Oceania,Wallis and Futuna Islands,WLF
250,World,International Olympic Committee Mixed teams,ZZX
251,Europe,Bohemia,BOH
252,Oceania,Australasia,ANZ
253,Europe,Russian Empire,RU1
254,Europe,Czechoslovakia,TCH
255,Europe,Yugoslavia,YUG
256,Europe,Soviet Union,URS
257,Europe,United Team of Germany,EUA
258,Americas,British West Indies,BWI
259,Europe,East Germany,GDR
260,Europe,West Germany,FRG
261,Europe,Netherlands Antilles,AHO
262,World,Independent Olympic Participants,IOP
263,Europe,Serbia and Montenegro,SCG
